Title,Date,Rating,Votes,Director
Local Hero,1983,7.4,23431,Bill Forsyth
Now and Then,1995,6.8,28945,Lesli Linka Glatter
Trust,1990,7.4,11118,Hal Hartley
Dead Man,1995,7.6,94713,Jim Jarmusch
Roman Holiday,1953,8,135058,William Wyler
Rashomon,1950,8.2,162857,Akira Kurosawa
Glory,1989,7.8,131523,Edward Zwick
The Right Stuff,1983,7.8,60124,Philip Kaufman
Modern Times,1936,8.5,233089,Charles Chaplin
Metropolis,1927,8.3,169332,Fritz Lang
Mr. Holland's Opus,1995,7.3,38029,Stephen Herek
The Seventh Seal,1957,8.2,178703,Ingmar Bergman
Braindead,1992,7.5,95265,Peter Jackson
Courage Under Fire,1996,6.6,53398,Edward Zwick
Apollo 13,1995,7.6,285514,Ron Howard
The Lion King,1994,8.5,1004327,"Roger Allers,  Rob Minkoff"
The Sting,1973,8.3,254061,George Roy Hill
True Romance,1993,7.9,220057,Tony Scott
Touch of Evil,1958,8,102577,Orson Welles
The Hunchback of Notre Dame,1996,7,151320,"Gary Trousdale,  Kirk Wise"
While You Were Sleeping,1995,6.7,99323,Jon Turteltaub
The Wild Bunch,1969,7.9,82543,Sam Peckinpah
Bound,1996,7.3,54091,"Lana Wachowski,  Lilly Wachowski"
Some Like It Hot,1959,8.2,258508,Billy Wilder
Dead Poets Society,1989,8.1,460589,Peter Weir
Heavenly Creatures,1994,7.3,62626,Peter Jackson
The Crow,1994,7.6,177223,Alex Proyas
The Graduate,1967,8,266359,Mike Nichols
Manhattan,1979,7.9,137739,Woody Allen
Rosencrantz & Guildenstern Are Dead,1990,7.4,21723,Tom Stoppard
Paths of Glory,1957,8.4,190322,Stanley Kubrick
Better Off Dead...,1985,7.2,43675,Savage Steve Holland
The Terminator,1984,8,829941,James Cameron
Nikita,1990,7.3,70837,Luc Besson
Cheech and Chong's Next Movie,1980,6.1,13864,Tommy Chong
Tom and Huck,1995,5.5,10646,Peter Hewitt
The African Queen,1951,7.8,76971,John Huston
Life of Brian,1979,8.1,387536,Terry Jones
The Day the Earth Stood Still,1951,7.7,80394,Robert Wise
Man Bites Dog,1992,7.5,40014,"R�my Belvaux,  Andr� Bonzel,  Beno�t Poelvoorde"
The Ghost and the Darkness,1996,6.8,60188,Stephen Hopkins
Miller's Crossing,1990,7.7,132443,"Joel Coen,  Ethan Coen"
8�,1963,8,115064,Federico Fellini
The Deer Hunter,1978,8.1,329197,Michael Cimino
Chinatown,1974,8.2,314573,Roman Polanski
Pump Up the Volume,1990,7.2,27920,Allan Moyle
The Bridge on the River Kwai,1957,8.1,214280,David Lean
Stand by Me,1986,8.1,386238,Rob Reiner
Mallrats,1995,7.1,120709,Kevin Smith
The Treasure of the Sierra Madre,1948,8.2,121520,John Huston
The Shining,1980,8.4,966155,Stanley Kubrick
M,1931,8.3,153057,Fritz Lang
The Gold Rush,1925,8.2,108091,Charles Chaplin
My Fair Lady,1964,7.8,92806,George Cukor
Phenomenon,1996,6.4,78129,Jon Turteltaub
The Great Escape,1963,8.2,237508,John Sturges
Naked,1993,7.8,38008,Mike Leigh
Big Night,1996,7.3,19706,"Campbell Scott,  Stanley Tucci"
Evil Dead II,1987,7.7,157496,Sam Raimi
